Epoch, Train Loss, Val Loss
3, 3.5824, 3.4569
6, 3.1344, 3.1248
9, 2.9351, 2.9833
12, 2.8218, 2.8594
15, 2.7077, 2.7862
18, 2.6115, 2.7274
21, 2.5397, 2.6838
24, 2.4956, 2.7084
27, 2.4254, 2.6452
30, 2.3874, 2.6364
33, 2.3354, 2.6256
36, 2.2906, 2.6315
39, 2.2498, 2.6249
42, 2.2038, 2.5964
45, 2.1790, 2.6100
48, 2.1388, 2.6197
51, 2.1211, 2.5658
54, 2.0720, 2.5813
57, 2.0540, 2.6084
60, 2.0382, 2.5972
63, 1.9957, 2.6107
66, 1.9525, 2.6022
69, 1.9413, 2.6048
72, 1.9389, 2.5830
75, 1.9147, 2.5805
78, 1.8952, 2.6139
81, 1.8726, 2.6207
84, 1.8612, 2.6049
87, 1.8498, 2.5954
90, 1.8500, 2.6177
93, 1.8321, 2.6098
96, 1.8201, 2.6221
99, 1.8378, 2.6047
